stoichiometric_name,stoichiometric_minflux,stoichiometric_maxflux
PGI,0.0047114694,0.211053503
PFK,0.0114582324,0.215478386
FBA,0.0077864961,0.2094658986
TPI,0.0145838207,0.2128412051
GAPD,0.1510900265,0.4364912441
PGK,-0.4384475021,-0.1516510676
PGM,-0.4372152384,-0.1407054261
ENO,0.1398003041,0.4432200156
PYK,0.0138687451,0.4918755425
G6PDH2r,0.0097841839,0.2035428101
PGL,0.0065312941,0.2035345056
GND,0.0002400918,0.1343098031
RPE,-0.0041557593,0.0741454598
RPI,-0.0625103206,-0.0028078336
FBP,3.92249822495566E-19,0.0028445245
PPC,0.000016022,0.8296231317
PPCK,-0.1089659514,0.756544962
PPS,0.000000052,8.11826849836015E-05
ME1,1.41908824085337E-06,0.1263821876
PDH,0.2895156576,0.7318297081
CS,0.1693965111,0.4214660003
ACONTa,0.1197418423,0.4209758951
ACONTb,0.0670790123,0.4177017758
ICDHyr,0.0183031851,0.401860906
AKGDH,0.0063652909,0.4183003329
SUCOAS,-0.4031559624,-0.0064821809
SUCDi,0.1065619576,0.4186276811
FUM,0.0585621681,0.4084368446
MDH2,0.5214138982,3.3687612851
MDH,-2.9403590849,-0.6897145297
ICL,0.0012045424,0.2924506068
MALS,0.0004960116,0.2759344348
EDD,0.0069459385,0.0729203137
EDA,0.0070134329,0.0723718279
NADH16pp,0.2588886954,0.6808094508
NADTRHD,-0.1487024116,0.4894635474
ADK1,0.0011677401,0.3005932503
ATPS4rpp,1.1024697282,3.2011088217
ADNCYC,0.000015415,0.009073258
PDE4,5.54707445982767E-05,0.0090743409
ACKr,-0.1536676969,-0.000685482
ACS,0.0006944335,0.2341954735
PTAr,0.0006054404,0.3327247566
GLCptspp,0.1600776042,0.230001928
EX_glc_LPAREN_e_RPAREN_,-0.23,-0.23
CYTBO3_4pp,0.5395834905,1.266141221
NADH5,0.3673789139,1.0013480134
ATPM,-0.4011371546,3.8367690069
GLCtexi,0.1573293617,0.2445544254
PIt2rpp,-0.001665775,0.360801378
PItex,0.0073800468,0.2989473327
ACt2rpp,-3.27949098356645E-08,7.75326832510453E-06
EX_ac_LPAREN_e_RPAREN_,3.2866574047809E-08,1.54487118941603E-05
ACACtex,-0.000020871,1.49332778070504E-08
