stoichiometric_name,stoichiometric_minflux,stoichiometric_maxflux
PGI,-0.0163075882,0.2294743263
PFK,-1.00705230637489E-19,0.2287798163
FBA,-1.25217585164017E-21,0.2254329358
TPI,-1.89356928062371E-21,0.2277810839
GAPD,-9.72232292298983E-23,0.4574973399
PGK,-0.4537289802,1.43242652551361E-17
PGM,-0.4574459373,6.67036353567087E-18
ENO,-3.81050908795863E-19,0.4565289528
PYK,-9.78428701428964E-20,0.3288032433
G6PDH2r,-2.18349870881792E-17,0.278837277
PGL,-1.05966145026083E-21,0.2784183738
GND,-0.0160872381,0.2162591678
RPE,-0.0049371615,0.1503883982
RPI,-0.0782062923,0.0054214773
TALA,-9.18398711550677E-08,0.0625036471
FBP,-2.06654868696217E-27,0.0019314445
PPC,-3.77125212880509E-19,3.4107715545
PPCK,-0.2231308675,2.4908231826
PPS,-6.25039807450774E-18,0.0008305025
ME1,-3.92105100468568E-14,0.4309112055
PDH,-1.29782861120489E-13,0.8659665064
CS,-4.55028733296529E-17,0.2369415763
ACONTa,-2.69332642566024E-16,0.2305763455
ACONTb,-7.2363810973372E-16,0.2260402298
ICDHyr,-1.6342692086229E-12,0.2006805376
AKGDH,-3.22813933717119E-14,0.1890359885
SUCOAS,-0.2107325218,2.56795781539579E-09
SUCDi,-4.04870719724988E-13,0.2432195281
FUM,-5.12496087100704E-15,0.2401760325
MDH2,-1.77433479667428E-16,28.5864254809
MDH,-27.5233181221,7.06496042327499E-16
ICL,0.0026032596,0.2046921039
MALS,-2.72367178308171E-17,0.2101856743
EDD,-2.52390317465294E-22,0.1590543116
EDA,-1.65512526014011E-22,0.2103614756
NADH16pp,-6.69447044088972E-14,0.8236048334
NADTRHD,-3.36482071564684E-08,0.4519323201
ADK1,-1.09901240659098E-05,0.0585739112
ATPS4rpp,1.89982671796875E-06,2.7069757811
ADNCYC,-5.79515375773429E-30,0.0086828113
PDE4,-2.21031804705756E-08,0.008617495
ACKr,-0.0454806816,1.75428677029966E-15
ACS,-5.95337883851356E-14,0.0433924998
PTAr,-5.56424533911339E-15,0.0288963108
GLCptspp,1.11451249988072E-42,0.2300000106
EX_glc_LPAREN_e_RPAREN_,-0.23,-0.23
CYTBO3_4pp,-4.43937404750252E-13,0.9202016891
NADH5,-9.99906094484244E-14,1.3504793636
ATPM,-0.0002549327,3.0034158181
GLCtex,0.0005099601,0.2300000218
PIt2rpp,-1.70524732678376E-05,0.006265505
PItex,-1.85462691862664E-05,0.0316249488
ACt2rpp,-8.88703330142774E-05,1.30351741497854E-06
EX_ac_LPAREN_e_RPAREN_,-1.04578279112897E-15,2.58152726060379E-06
ACtex,-2.4604704640298E-06,2.20044961249735E-13
TKT1,-0.0024685808,0.0751941991
TKT2,-0.0024685808,0.0751941991
