stoichiometric_name,stoichiometric_minflux,stoichiometric_maxflux
PGI,-0.0062379152,0.2220600207
PFK,4.5853219231138E-05,0.2251219045
FBA,4.10098945947205E-05,0.2249620647
TPI,0.00002834,0.2249620647
GAPD,0.1142709289,0.4544683414
PGK,-0.4544683415,-0.1247235106
PGM,-0.4540245152,-0.1247235101
ENO,0.1247235097,0.4540245151
PYK,1.28198406011978E-09,0.2069540541
G6PDH2r,5.89080868381985E-07,0.2114356128
PGL,5.89063953415361E-07,0.211435415
GND,-0.0002269686,0.1545257636
RPE,-0.0001513091,0.102946664
RPI,-0.0638673004,7.56521304914083E-05
TALA,-7.56499302272645E-05,0.0592091243
FBP,8.67E-16,0.0012434748
PPC,5.04E-06,0.6612757373
PPCK,-0.1220790192,0.6427694548
PPS,9.83E-08,2.00E-04
ME1,1.22E-03,0.2126237541
PDH,0.0698049456,0.377366549
CS,0.000102067,0.1724869632
ACONTa,0.000102067,0.1724869632
ACONTb,0.000102067,0.1724869632
ICDHyr,2.5072557749496E-06,0.0843571503
AKGDH,2.51E-06,0.0778183441
SUCOAS,-0.077818345,-2.27859343497322E-06
SUCDi,0.0001020669,0.1659481571
FUM,0.0001020675,0.1659481571
MDH2,0.1536527662,4.1071994823
MDH,-4.0951083054,-0.1547127229
ICL,6.09442759967929E-05,0.088129813
MALS,6.09442793242172E-05,0.088129813
EDD,0.0001554741,0.0594374123
EDA,0.0001554707,0.059409287
NADH16pp,0.0576145946,0.7625449695
NADTRHD,-0.0002188895,0.3794430222
ADK1,0.0010463839,0.0244236293
ATPS4rpp,0.4876344305,1.7934800294
ADNCYC,5.55E-04,0.0086989464
PDE4,5.61E-04,0.0086989466
ACKr,-0.0164193551,-4.71844333590584E-05
ACS,4.71817876354657E-05,0.0164184287
PTAr,4.72025675948814E-05,0.0164193551
GLCptspp,0.1036019007,0.2300001112
EX_glc_LPAREN_e_RPAREN_,-0.23,-0.23
CYTBO3_4pp,0.1730648694,0.692699639
NADH5,0.1049258987,8.13E-01
ATPM,0.5273380596,1.965595412
GLCtex,0.1039646025,0.2300006522
PIt2rpp,-0.3777768384,0.3261947221
PItex,-0.377777646,3.26E-01
ACt2rpp,-3.23E-06,1.68E-06
EX_ac_LPAREN_e_RPAREN_,2.62E-09,1.68E-06
ACtex,-1.68037414154486E-06,0.000003233
TKT1,-7.56545477007471E-05,0.051473332
TKT2,-7.56545477007471E-05,0.051473332
