,Middlebrook m7H10 (Acetate C-source),Griffin Media (Gene Essentiality),deJesus Media (Gene Essentiality),Lowenstein-Jensen Media (Drug-Testing),Physiological Media (in vivo modeling)
EX_ac,10,,,,
EX_ala_L,,,,,1
EX_asn_L,,1,,1,5
EX_asp_L,,,,,5
EX_btn,1,,1,,
EX_ca2,1000,1000,1000,1000,1000
EX_chsterol,,1,,,10
EX_cit,1,1,1,1,
EX_cl,1000,1000,1000,1000,1000
EX_co2,1000,,,,1000
EX_cobalt2,,,,,1000
EX_cu2,1000,,,,1000
EX_etoh,,1,,1,
EX_fe2,1000,,,,
EX_fe3,1000,5,1,5,5
EX_gln_L,,,,,1
EX_glu_L,1,,1,,1
EX_glyc,,1,1,1,
EX_h,1000,1000,1000,1000,1000
EX_h2co3,1000,,,,
EX_h2o,,1000,1000,,
EX_hdca,,,,,10
EX_k,1000,,,,1000
EX_mg2,1000,1000,1000,1000,1000
EX_mobd,1000,,,1000,1000
EX_na1,1000,,,,1000
EX_nh4,20,10,1,20,
EX_no3,,,,,1.5
EX_nodcoa,,,,,10
EX_o2,20,20,20,20,0.5
EX_ocdca,,,0.01,,10
EX_octscoa,,,,,10
EX_pi,1000,1,1,1000,1000
EX_ppa,,,,,20
EX_pydxn,1,,,,
EX_rib_D,,,0.01,,
EX_so4,1000,1000,1000,1000,1000
EX_tre,,,0.01,,
EX_ttdca,,,,,10
EX_urea,,,,,0.1
