"","stoich_met","stoich_coeff","Metabolite.Name"
"1","10fthf[c]",-0.000223,"10-Formyltetrahydrofolate"
"2","2fe2s[c]",-2.6e-05,"[2Fe-2S] iron-sulfur cluster"
"3","2ohph[c]",-0.000223,"2-Octaprenyl-6-hydroxyphenol"
"4","4fe4s[c]",-0.00026,"[4Fe-4S] iron-sulfur cluster"
"5","ala-L[c]",-0.513689,"L-Alanine"
"6","amet[c]",-0.000223,"S-Adenosyl-L-methionine"
"7","arg-L[c]",-0.295792,"L-Arginine"
"8","asn-L[c]",-0.241055,"L-Asparagine"
"9","asp-L[c]",-0.241055,"L-Aspartate"
"10","atp[c]",-54.124831,"ATP"
"11","bmocogdp[c]",-0.000122,"bis-molybdopterin guanine dinucleotide"
"12","btn[c]",-2e-06,"Biotin"
"13","ca2[c]",-0.005205,"Calcium"
"14","cl[c]",-0.005205,"Chloride"
"15","coa[c]",-0.000576,"Coenzyme A"
"16","cobalt2[c]",-2.5e-05,"Co2+"
"17","ctp[c]",-0.133508,"CTP"
"18","cu2[c]",-0.000709,"Cu2+"
"19","cys-L[c]",-0.09158,"L-Cysteine"
"20","datp[c]",-0.026166,"dATP"
"21","dctp[c]",-0.027017,"dCTP"
"22","dgtp[c]",-0.027017,"dGTP"
"23","dttp[c]",-0.026166,"dTTP"
"24","fad[c]",-0.000223,"Flavin adenine dinucleotide oxidized"
"25","fe2[c]",-0.006715,"Fe2+"
"26","fe3[c]",-0.007808,"Fe3+"
"27","gln-L[c]",-0.26316,"L-Glutamine"
"28","glu-L[c]",-0.26316,"L-Glutamate"
"29","gly[c]",-0.612638,"Glycine"
"30","gtp[c]",-0.215096,"GTP"
"31","h[c]",53.95,"H+"
"32","h2o[c]",-48.601527,"H2O"
"33","his-L[c]",-0.094738,"L-Histidine"
"34","ile-L[c]",-0.290529,"L-Isoleucine"
"35","k[c]",-0.195193,"potassium"
"36","kdo2lipid4[e]",-0.019456,"KDO(2)-lipid IV(A)"
"37","leu-L[c]",-0.450531,"L-Leucine"
"38","lys-L[c]",-0.343161,"L-Lysine"
"39","met-L[c]",-0.153686,"L-Methionine"
"40","mg2[c]",-0.008675,"magnesium"
"41","mlthf[c]",-0.000223,"5,10-Methylenetetrahydrofolate"
"42","mn2[c]",-0.000691,"Mn2+"
"43","mobd[c]",-7e-06,"Molybdate"
"44","murein5px4p[p]",-0.013894,"two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
"45","nad[c]",-0.001831,"Nicotinamide adenine dinucleotide"
"46","nadp[c]",-0.000447,"Nicotinamide adenine dinucleotide phosphate"
"47","nh4[c]",-0.013013,"Ammonium"
"48","ni2[c]",-0.000323,"nickel"
"49","pe160[c]",-0.017868,"phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
"50","pe160[p]",-0.045946,"phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
"51","pe161[c]",-0.054154,"phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)"
"52","pe161[p]",-0.02106,"phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)"
"53","phe-L[c]",-0.185265,"L-Phenylalanine"
"54","pheme[c]",-0.000223,"Protoheme"
"55","pi[c]",53.945662,"Phosphate"
"56","ppi[c]",0.773903,"Diphosphate"
"57","pro-L[c]",-0.221055,"L-Proline"
"58","pydx5p[c]",-0.000223,"Pyridoxal 5'-phosphate"
"59","ribflv[c]",-0.000223,"Riboflavin"
"60","ser-L[c]",-0.215792,"L-Serine"
"61","sheme[c]",-0.000223,"Siroheme"
"62","so4[c]",-0.004338,"Sulfate"
"63","thf[c]",-0.000223,"5,6,7,8-Tetrahydrofolate"
"64","thmpp[c]",-0.000223,"Thiamine diphosphate"
"65","thr-L[c]",-0.253687,"L-Threonine"
"66","trp-L[c]",-0.056843,"L-Tryptophan"
"67","tyr-L[c]",-0.137896,"L-Tyrosine"
"68","udcpdp[c]",-5.5e-05,"Undecaprenyl diphosphate"
"69","utp[c]",-0.144104,"UTP"
"70","val-L[c]",-0.423162,"L-Valine"
"71","zn2[c]",-0.000341,"Zinc"
