Reaction,Flux
EX_ac_LPAREN_e_RPAREN_,-1.35E-15
EX_co2_LPAREN_e_RPAREN_,-0.0809711638
EX_glc_LPAREN_e_RPAREN_,-0.23
EX_h_LPAREN_e_RPAREN_,0.2921942328
EX_h2o_LPAREN_e_RPAREN_,0.2112230689
EX_nh4_LPAREN_e_RPAREN_,-2.53140502084787E-16
EX_o2_LPAREN_e_RPAREN_,-0.0651259526
EX_pi_LPAREN_e_RPAREN_,-3.52716523969054E-16
ABUTD,1.10038392558554E-28
ACONTa,-1.86140957658102E-12
ACONTb,-1.86140957658102E-12
ACS,0.0769686733
ACt2rpp,1.35E-15
ACtex,1.35E-15
ADCL,-1.11853892911716E-18
ADCS,-1.11853892911716E-18
ADK1,0.0821615246
ADNCYC,-1.87E-32
AGMT,1.10038392558554E-28
AKGDH,-1.06E-12
ALDD2y,0.0769686733
ALLTAMH,-4.21571105960004E-17
ALLTN,-4.21571105960004E-17
ARGDC,1.10038392558554E-28
ASAD,-0.1243879947
ASPK,0.1243879947
ASPT,1.23867062031798E-13
ASPTA,-0.1243879947
AST,-1.10038392558554E-28
ATPM,-0.0005159992
ATPS4rpp,0.00000189
CCGS,1.11853892911716E-18
CDGR,1.11853892911716E-18
CDGS,1.11853892911716E-18
CHRPL,1.11853892911716E-18
CITL,1.86140799519424E-12
CO2tex,0.0809711638
CO2tpp,0.0809711638
CPH4S,1.11853892911716E-18
CS,-1.58138677901017E-18
CYTBO3_4pp,0.1302519051
DADA,-1.96475256155839E-16
DADK,1.96475256155839E-16
DGK1,-0.0051928513
DHNPA2r,-1.11853892911716E-18
DHPS2,-1.11853892911716E-18
DNMPPA,-1.11853892911716E-18
DNTPPA,-1.11853892911716E-18
DRPA,0.0051928513
DURIPP,1.77635683940025E-16
DUTPDP,1.77635683940025E-16
EDA,-2.46950432506885E-23
EDD,3.24317867247838E-17
ENO,0.4548076195
FBA,0.2248076195
FBP,-1.1E-24
FCLT,-1.11853892901384E-18
FE3Ri,1.54318145559838E-16
FESD1s,1.54877415024345E-16
FESR,3.09754830048691E-16
FRD2,-1.11853892911716E-18
FTHFLi,0.1243879947
FUM,-1.73754251454922E-12
G3PSabcpp,-3.08148791101958E-33
G6PDH2r,0.0051914388
GAPD,0.4548076195
GCALDD,-1.11853892911716E-18
GHMT2r,-0.1243879947
GK1,0.0051928513
GLCptspp,0.23
GLCtex,0.23
GLNabcpp,-3.58615346493379E-18
GLUDy,-0.1243879947
GLUNpp,3.58615346493379E-18
GLUt2rpp,3.58615346493379E-18
GLXCL,-4.00542504785873E-13
GLYAT,-0.0526121727
GLYC3Pt6pp,3.08148791101958E-33
GLYCK,-4.00619663858653E-13
GLYCTO3,-1.11853892911716E-18
GND,0.0051914388
GPDDA3pp,3.08148791101958E-33
GRTT,1.03317153843301E-28
GUAPRT,0.0051928513
H2Otex,-0.2112230689
H2Otpp,-0.2112230689
HBZOPT,1.11853892911716E-18
HEMEOS,-1.11853892901384E-18
HPPK2,-1.11853892911716E-18
HSDy,-0.1243879947
HSK,0.1243879947
HXAND,-1.96475256155839E-16
Htex,-0.2921942328
ICDHyr,-1.06E-12
ICL,-8.01409576581018E-13
IPDPS,5.59269464568912E-18
MALS,-3.67842658796351E-16
MCITD,-2.15950672804252E-29
MCITL2,-2.15950672804252E-29
MCITS,-2.15950672804252E-29
MDH,-0.1004196248
MDH2,-2.32986366758421E-16
ME1,-4.44E-16
ME2,0.1004196248
MICITDr,-2.15950672804252E-29
MMCD,-2.15950672804252E-29
MOX,1.97034525620346E-16
MTHFC,-0.1243879947
MTHFD,-0.1243879947
NADH16pp,0.1302519051
NADH5,-1.05E-11
NADTRHD,-3.14128402467303E-08
NDPK1,0.0051928513
NDPK2,1.77635683940025E-16
NDPK5,-0.0051928513
NDPK8,1.96475256155839E-16
NH4tex,2.53140502084787E-16
NH4tpp,2.55916059646895E-16
NTD6,-1.96475256155839E-16
NTD8,0.0051928513
O2tex,0.0651259526
O2tpp,0.0651259526
OCTDPS,1.11853892911716E-18
OPHBDC,1.11853892911716E-18
OPHHX3,3.58615346493379E-18
PDE1,-1.87E-32
PDH,0.0330325407
PDX5POi,1.10038392558554E-28
PFK,0.2248076195
PFL,0.1243879947
PGI,0.2248085612
PGK,-0.4548076195
PGL,0.0051914388
PGM,-0.4548076195
PIt2rpp,3.52716523969054E-16
PItex,3.52716523969054E-16
POR5,0.0051928513
PPC,-8.35E-20
PPCK,-0.2248076195
PPK2r,-1.11853892911716E-18
PPKr,-0.0821615246
PPM2,0.0051928513
PPS,-9.42E-17
PRPPS,0.0051928513
PTRCTA,1.10038392558554E-28
PUNP4,0.0051928513
PUNP6,-1.96475256155839E-16
PYK,-7.08856553815064E-19
RNTR1c2,-1.96475256155839E-16
RNTR2c2,0.0051928513
RNTR4c2,1.77635683940025E-16
RPE,-9.4167672497746E-07
RPI,-0.0051923805
SADH,-1.10038392558554E-28
SERD_L,0.1243879947
SERt2rpp,3.08148791101958E-33
SGDS,-1.10038392558554E-28
SGSAD,-1.10038392558554E-28
SOTA,-1.10038392558554E-28
SSALy,1.10038392558554E-28
SUCDi,-1.86141069511995E-12
SUCOAS,1.06E-12
TALA,-4.70838362465641E-07
THD2pp,0.3097807716
THRAi,0.071775822
THRD,0.0526121727
THRS,0.1243879947
TKT1,-4.70838362465641E-07
TKT2,-4.70838362458693E-07
TPI,0.2248076195
TRSARr,-4.00542504785873E-13
UGLYCH,-4.21571105960004E-17
UMPK,1.77635683940025E-16
UPPRT,1.77635683940025E-16
URIC,-4.21571105960004E-17
XAND,-4.21571105960004E-17
CIMA,0.2921942328
CitraSink,0.2921942328
