Kinetic model reaction,Stoichiometric model reaction,Relationship
\_GLC\_FEED,EX\_glc\_(e),reversed
\_ACE\_OUT,EX\_ac\_(e),identical
XCH\_GLC,GLCtex,identical
XCH\_P,PItex,identical
XCH\_ACE1,ACt2rpp,plus small chemical species
XCH\_ACE2,ACtex,reversed
PTS\_0,GLCptspp,Sub-network different structure
PTS\_1,,Sub-network different structure
PTS\_2,,Sub-network different structure
PTS\_3,,Sub-network different structure
PTS\_4,GLCptspp,Sub-network different structure
PIT,PIt2rpp,identical
PGI,PGI,identical
PFK,PFK,identical
FBP,FBP,plus small chemical species
FBA,FBA,identical
TPI,TPI,identical
GDH,GAPD,plus small chemical species
PGK,PGK,reversed
GPM,PGM,reversed
ENO,ENO,plus small chemical species
PYK,PYK,plus small chemical species
PPS,PPS,plus small chemical species and different reversibility
PDH,PDH,acid hydrolysis and different reversibility
ZWF,G6PDH2r,plus small chemical species
PGL,PGL,different reversibility
GL6P\_HYDROLYSIS,,absent
GND,GND,acid hydrolysis 
RPE,RPE,identical
RPI,RPI,reversed
X5P\_GAP\_TKT,TKT1 + TKT2,Sub-network different structure
F6P\_E4P\_TKT,TALA,Sub-network different structure
S7P\_R5P\_TKT,TKT1,Sub-network different structure
F6P\_GAP\_TAL,TKT2,Sub-network different structure
S7P\_E4P\_TAL,TALA,Sub-network different structure
EDD,EDD,plus small chemical species and different reversibility
EDA,EDA,identical
PPC,PPC,acid hydrolysis and different reversibility
PCK,PPCK,acid hydrolysis and different reversibility
MAE,ME1,acid hydrolysis 
GLT,CS,plus small chemical species and different reversibility
ACN\_1,ACONTa,plus small chemical species
ACN\_2,ACONTb,plus small chemical species
ICD,ICDHyr,acid hydrolysis 
ACEK\_1,,absent
ACEK\_2,,absent
LPD,AKGDH,acid hydrolysis 
SK,SUCOAS,reversed
SDH,SUCDi,Sub-network different structure
FUMA,FUM,plus small chemical species
MQO,MDH2,identical
MDH,MDH,reversed
ACEA,ICL,different reversibility
ACEB,MALS,different reversibility
PTA,PTAr,identical
ACK,ACKr,reversed
ACS,ACS,identical
NDHI,NADH16pp,plus small chemical species
NDHII,NADH5,plus small chemical species
SQR,SUCDi,Sub-network different structure
CYTBO,CYTBO3\_4pp,different stoichiometry
ATP\_SYN,ATPS4rpp,plus small chemical species
PNT,NADTRHD,different reversibility
ADK,ADK1,identical
ATP\_MAINTENANCE,ATPM,plus small chemical species
CYA,ADNCYC,identical
DOS,PDE4,plus small chemical species
GROWTH,Ec\_biomass\_iJO1366\_WT\_53p95M,
