"","Reaction","LowerBound","UpperBound","Reaction Name","Formula","Gene-Protein-Reaction Association","Gene-Reaction Association","Protein-Reaction Association","Subsystem","EC Number","Reversible","Lower Bound","Upper Bound","Objective (c)"
"1","12PPDRtex",-0.3301117037,0,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","12ppd-R[e]  <=> 12ppd-R[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"2","12PPDRtpp",-0.3301117037,0,"(R)-Propane-1,2-diol facilitated transport (periplasm)","12ppd-R[p]  <=> 12ppd-R[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"3","12PPDStex",-0.326379244,0,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","12ppd-S[e]  <=> 12ppd-S[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"4","12PPDStpp",-0.326379244,0,"(S)-Propane-1,2-diol facilitated transport (periplasm)","12ppd-S[p]  <=> 12ppd-S[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"5","3HPPtex",-0.2951618703,0,"3-hydroxypropionate transport via diffusion (extracellular to periplasm)","3hpp[e]  <=> 3hpp[p]","( OmpN (b1377)  ) or ( OmpF (b0929)  ) or ( OmpC (b2215)  ) or ( PhoE (b0241)  )","(b1377 or b0929 or b2215 or b0241)","( OmpN ) or ( OmpF ) or ( OmpC ) or ( PhoE )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"6","3PEPTtex",-0.0630196756,0,"LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)","LalaDgluMdap[e]  <=> LalaDgluMdap[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"7","4PEPTtex",-0.0582685479,0,"LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)","LalaDgluMdapDala[e]  <=> LalaDgluMdapDala[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"8","5DGLCNR",-0.23,0,"5-dehydro-D-gluconate reductase","5dglcn[c] + h[c] + nadph[c]  <=> glcn[c] + nadp[c]","IdnO (b4266)","b4266","IdnO","Alternate Carbon Metabolism","1.1.1.69",1,-1000,1000,0
"9","5DGLCNt2rpp",-0.23,0,"5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)","5dglcn[p] + h[p]  <=> 5dglcn[c] + h[c]","IdnT (b4265)","b4265","IdnT","Transport, Inner Membrane",NA,1,-1000,1000,0
"10","5DGLCNtex",-0.23,0,"5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)","5dglcn[e]  <=> 5dglcn[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpC (b2215)  ) or ( OmpN (b1377)  )","(b0241 or b0929 or b2215 or b1377)","( PhoE ) or ( OmpF ) or ( OmpC ) or ( OmpN )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
