,minimum,maximum
DM_4CRSOL,4.260582543999443e-06,4.493889919598667e-06
DM_5DRIB,4.29879404663621e-06,0.009527881496338481
DM_AACALD,0.0,0.0
DM_AMOB,3.821150263676631e-08,4.03039454683242e-08
DM_MTHTHF,8.559376590635653e-06,0.03980438766077362
DM_OXAM,0.0,0.07632376676964309
Ec_biomass_iJO1366_WT_53p95M,0.0,0.00104622141577965
Ec_biomass_iJO1366_core_53p95M,0.019105751318383154,0.020111317178027253
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0.0,0.05899596523580153
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0.0,0.058128377511745793
EX_14glucan_LPAREN_e_RPAREN_,0.0,0.0
EX_15dap_LPAREN_e_RPAREN_,0.0,0.0335346334860122
EX_23camp_LPAREN_e_RPAREN_,0.0,1.9259299443872354e-34
EX_23ccmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cump_LPAREN_e_RPAREN_,0.0,0.0
EX_23dappa_LPAREN_e_RPAREN_,0.0,0.0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0.0,0.0
EX_2ddglcn_LPAREN_e_RPAREN_,0.0,0.0
EX_34dhpac_LPAREN_e_RPAREN_,0.0,0.0
EX_3amp_LPAREN_e_RPAREN_,0.0,-1.7347234759768044e-18
EX_3cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3gmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3hcinnm_LPAREN_e_RPAREN_,0.0,0.0
EX_3hpp_LPAREN_e_RPAREN_,0.0,0.054504751642765914
EX_3hpppn_LPAREN_e_RPAREN_,0.0,0.0
EX_3ump_LPAREN_e_RPAREN_,0.0,0.0
EX_4abut_LPAREN_e_RPAREN_,0.0,0.05787901756021414
EX_4hoxpacd_LPAREN_e_RPAREN_,0.0,0.0
EX_5dglcn_LPAREN_e_RPAREN_,0.0,0.046147340124484786
EX_5mtr_LPAREN_e_RPAREN_,0.0,0.011774912825062836
EX_LalaDglu_LPAREN_e_RPAREN_,0.0,0.0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0.0,0.01404989598234677
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0.0,0.012031820013973316
EX_LalaLglu_LPAREN_e_RPAREN_,0.0,0.0
EX_ac_LPAREN_e_RPAREN_,-1.35e-15,3.12e-11
EX_acac_LPAREN_e_RPAREN_,0.0,0.0
EX_acald_LPAREN_e_RPAREN_,0.0,0.1065435183311245
EX_acgal_LPAREN_e_RPAREN_,0.0,0.0
EX_acgal1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acmana_LPAREN_e_RPAREN_,0.0,0.0
EX_acmum_LPAREN_e_RPAREN_,0.0,0.0
EX_acnam_LPAREN_e_RPAREN_,0.0,0.0
EX_acolipa_LPAREN_e_RPAREN_,0.0,0.00024249999998105754
EX_acser_LPAREN_e_RPAREN_,0.0,0.053223868694785986
EX_ade_LPAREN_e_RPAREN_,0.0,0.04388316408152734
EX_adn_LPAREN_e_RPAREN_,0.0,0.02245776271381414
EX_adocbl_LPAREN_e_RPAREN_,0.0,0.0
EX_ag_LPAREN_e_RPAREN_,0.0,0.0
EX_agm_LPAREN_e_RPAREN_,0.0,0.037742401184515925
EX_akg_LPAREN_e_RPAREN_,0.0,0.0646247570195091
EX_ala_DASH_B_LPAREN_e_RPAREN_,0.0,0.0
EX_ala_DASH_D_LPAREN_e_RPAREN_,0.0,0.06024195430196331
