,minimum,maximum
DM_4CRSOL,4.0363413574720716e-06,4.502956108776538e-06
DM_5DRIB,4.072541728391103e-06,0.011863870489408406
DM_AACALD,0.0,0.0
DM_AMOB,3.620037091903203e-08,4.038525658105415e-08
DM_MTHTHF,8.108883085863176e-06,0.0409344264863844
DM_OXAM,0.0,0.09306340121997758
Ec_biomass_iJO1366_WT_53p95M,0.0,0.002092442834656855
Ec_biomass_iJO1366_core_53p95M,0.018100185459516017,0.020111317181781534
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0.0,0.07345211343953785
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0.0,0.0723719353007218
EX_14glucan_LPAREN_e_RPAREN_,0.0,0.0
EX_15dap_LPAREN_e_RPAREN_,0.0,0.041767852323350986
EX_23camp_LPAREN_e_RPAREN_,0.0,0.0
EX_23ccmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cump_LPAREN_e_RPAREN_,0.0,0.0
EX_23dappa_LPAREN_e_RPAREN_,0.0,0.0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0.0,0.0
EX_2ddglcn_LPAREN_e_RPAREN_,0.0,0.0
EX_34dhpac_LPAREN_e_RPAREN_,0.0,0.0
EX_3amp_LPAREN_e_RPAREN_,0.0,0.0
EX_3cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3gmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3hcinnm_LPAREN_e_RPAREN_,0.0,0.0
EX_3hpp_LPAREN_e_RPAREN_,0.0,0.06761655895117683
EX_3hpppn_LPAREN_e_RPAREN_,0.0,0.0
EX_3ump_LPAREN_e_RPAREN_,0.0,0.0
EX_4abut_LPAREN_e_RPAREN_,0.0,0.0720891212111481
EX_4hoxpacd_LPAREN_e_RPAREN_,0.0,0.0
EX_5dglcn_LPAREN_e_RPAREN_,0.0,0.05747789023079165
EX_5mtr_LPAREN_e_RPAREN_,0.0,0.014665817661621217
EX_LalaDglu_LPAREN_e_RPAREN_,0.0,0.0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0.0,0.017499340819174324
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0.0,0.014985799137874742
EX_LalaLglu_LPAREN_e_RPAREN_,0.0,0.0
EX_ac_LPAREN_e_RPAREN_,-1.35e-15,3.12e-11
EX_acac_LPAREN_e_RPAREN_,0.0,0.0
