,minimum,maximum
DM_4CRSOL,0.0,3.054928736829287e-07
DM_5DRIB,4.252418785758415e-22,0.0026008327381611654
DM_AACALD,0.0,0.0
DM_AMOB,0.0,2.4192211943128142e-09
DM_MTHTHF,0.0,0.012797501557349862
DM_OXAM,0.0,0.027722989702325566
Ec_biomass_iJO1366_WT_53p95M,0.0,0.0013699231923715585
Ec_biomass_iJO1366_core_53p95M,0.0,0.001361730284586141
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0.0,0.018282126739482246
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0.0,0.017819288088056606
EX_14glucan_LPAREN_e_RPAREN_,0.0,0.0
EX_15dap_LPAREN_e_RPAREN_,0.0,0.009606385753071144
EX_23camp_LPAREN_e_RPAREN_,0.0,0.0
EX_23ccmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cump_LPAREN_e_RPAREN_,0.0,0.0
EX_23dappa_LPAREN_e_RPAREN_,0.0,0.0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0.0,0.0
EX_2ddglcn_LPAREN_e_RPAREN_,0.0,0.0
EX_34dhpac_LPAREN_e_RPAREN_,0.0,0.0
EX_3amp_LPAREN_e_RPAREN_,0.0,0.0
EX_3cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3gmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3hcinnm_LPAREN_e_RPAREN_,0.0,0.0
EX_3hpp_LPAREN_e_RPAREN_,0.0,0.016500380234686907
EX_3hpppn_LPAREN_e_RPAREN_,0.0,0.0
EX_3ump_LPAREN_e_RPAREN_,0.0,-6.573840876841765e-32
EX_4abut_LPAREN_e_RPAREN_,0.0,0.014459096514315206
EX_4hoxpacd_LPAREN_e_RPAREN_,0.0,0.0
EX_5dglcn_LPAREN_e_RPAREN_,0.0,0.013034479248055841
EX_5mtr_LPAREN_e_RPAREN_,0.0,0.0036948167226273625
EX_LalaDglu_LPAREN_e_RPAREN_,0.0,0.0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0.0,0.004232727789442234
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0.0,0.0035658176929826
EX_LalaLglu_LPAREN_e_RPAREN_,0.0,0.0
EX_ac_LPAREN_e_RPAREN_,-1.35e-15,3.12e-11
EX_acac_LPAREN_e_RPAREN_,0.0,0.0
EX_acald_LPAREN_e_RPAREN_,0.0,0.027500634710773967
EX_acgal_LPAREN_e_RPAREN_,0.0,0.0
EX_acgal1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acmana_LPAREN_e_RPAREN_,0.0,0.0
EX_acmum_LPAREN_e_RPAREN_,0.0,0.0
EX_acnam_LPAREN_e_RPAREN_,0.0,0.0
EX_acolipa_LPAREN_e_RPAREN_,0.0,0.0003214055627781536
EX_acser_LPAREN_e_RPAREN_,0.0,0.0146097116663531
EX_ade_LPAREN_e_RPAREN_,0.0,0.017015122684500374
EX_adn_LPAREN_e_RPAREN_,0.0,0.007720672339360135
EX_adocbl_LPAREN_e_RPAREN_,0.0,0.0
EX_ag_LPAREN_e_RPAREN_,0.0,0.0
EX_agm_LPAREN_e_RPAREN_,0.0,0.010957283750043763
EX_akg_LPAREN_e_RPAREN_,0.0,0.015758790112589446
EX_ala_DASH_B_LPAREN_e_RPAREN_,0.0,0.0
EX_ala_DASH_D_LPAREN_e_RPAREN_,0.0,0.019523278342774106
EX_ala_DASH_L_LPAREN_e_RPAREN_,0.0,0.02337553866492592
EX_alaala_LPAREN_e_RPAREN_,0.0,0.009761639171374039
EX_all_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_alltn_LPAREN_e_RPAREN_,0.0,0.023287311350827646
EX_amp_LPAREN_e_RPAREN_,0.0,0.0
EX_anhgm_LPAREN_e_RPAREN_,0.0,0.003383951343342036
EX_arab_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_arbt_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0.0,0.0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0.0,0.010872343890589792
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_asn_DASH_L_LPAREN_e_RPAREN_,0.0,0.02157742095185383
EX_aso3_LPAREN_e_RPAREN_,0.0,0.0
EX_asp_DASH_L_LPAREN_e_RPAREN_,0.0,0.022245044379815226
EX_btn_LPAREN_e_RPAREN_,0.0,1.2621774483536192e-29
EX_but_LPAREN_e_RPAREN_,0.0,0.0
EX_butso3_LPAREN_e_RPAREN_,0.0,0.0
EX_ca2_LPAREN_e_RPAREN_,-7.087806130177456e-06,0.0
EX_cbi_LPAREN_e_RPAREN_,0.0,0.0
EX_cbl1_LPAREN_e_RPAREN_,-3.0549287185040435e-07,0.0
EX_cd2_LPAREN_e_RPAREN_,0.0,0.0
EX_cgly_LPAREN_e_RPAREN_,0.0,0.010312737954864563
EX_chol_LPAREN_e_RPAREN_,0.0,0.0
EX_chtbs_LPAREN_e_RPAREN_,0.0,3.308722450212111e-24
EX_cit_LPAREN_e_RPAREN_,0.0,0.013886459028368756
EX_cl_LPAREN_e_RPAREN_,-7.087806130177226e-06,0.0
EX_cm_LPAREN_e_RPAREN_,0.0,0.0
EX_cmp_LPAREN_e_RPAREN_,0.0,-2.2506821456186532e-17
EX_co2_LPAREN_e_RPAREN_,-0.15821347353445142,-0.007922608042808527
EX_cobalt2_LPAREN_e_RPAREN_,-3.075937935038398e-08,0.0
EX_colipa_LPAREN_e_RPAREN_,0.0,0.00032989920838429006
EX_colipap_LPAREN_e_RPAREN_,0.0,0.000241012987365663
EX_cpgn_LPAREN_e_RPAREN_,0.0,0.0
EX_cpgn_DASH_un_LPAREN_e_RPAREN_,0.0,0.0
EX_crn_LPAREN_e_RPAREN_,0.0,0.0
EX_crn_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_csn_LPAREN_e_RPAREN_,0.0,0.0
EX_cu_LPAREN_e_RPAREN_,0.0,0.0
EX_cu2_LPAREN_e_RPAREN_,-9.654667716226668e-07,0.0
