,minimum,maximum
DM_4CRSOL,0.0,5.892916913687389e-07
DM_5DRIB,0.0,0.005194560904055902
DM_AACALD,0.0,-5.048709793414506e-29
DM_AMOB,-6.815368674357787e-08,2.6084235915247102e-09
DM_MTHTHF,0.0,0.025269691405975885
DM_OXAM,0.0,0.05197896475920198
Ec_biomass_iJO1366_WT_53p95M,0.0,0.002642567846896973
Ec_biomass_iJO1366_core_53p95M,0.0,0.002629451094296455
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0.0,0.03649683164432414
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0.0,0.03557286122294884
EX_14glucan_LPAREN_e_RPAREN_,0.0,0.0
EX_15dap_LPAREN_e_RPAREN_,0.0,0.019202629452343963
EX_23camp_LPAREN_e_RPAREN_,0.0,-2.8421709430405207e-14
EX_23ccmp_LPAREN_e_RPAREN_,0.0,8.526512829121203e-14
EX_23cgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cump_LPAREN_e_RPAREN_,0.0,0.0
EX_23dappa_LPAREN_e_RPAREN_,0.0,0.0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0.0,0.0
EX_2ddglcn_LPAREN_e_RPAREN_,0.0,0.0
EX_34dhpac_LPAREN_e_RPAREN_,0.0,0.0
EX_3amp_LPAREN_e_RPAREN_,0.0,4.6817079383851714e-15
EX_3cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3gmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3hcinnm_LPAREN_e_RPAREN_,0.0,0.0
EX_3hpp_LPAREN_e_RPAREN_,0.0,0.033000759973630986
EX_3hpppn_LPAREN_e_RPAREN_,0.0,0.0
EX_3ump_LPAREN_e_RPAREN_,0.0,-1.9879564441761716e-28
EX_4abut_LPAREN_e_RPAREN_,0.0,0.028918191729287605
EX_4hoxpacd_LPAREN_e_RPAREN_,0.0,0.0
EX_5dglcn_LPAREN_e_RPAREN_,0.0,0.02602088922722872
EX_5mtr_LPAREN_e_RPAREN_,0.0,0.007376003803231663
EX_LalaDglu_LPAREN_e_RPAREN_,0.0,0.0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0.0,0.008458458790300938
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0.0,0.007127432280161367
EX_LalaLglu_LPAREN_e_RPAREN_,0.0,0.0
EX_ac_LPAREN_e_RPAREN_,-1.35e-15,3.12e-11
EX_acac_LPAREN_e_RPAREN_,0.0,0.0
EX_acald_LPAREN_e_RPAREN_,0.0,0.05500126662148773
EX_acgal_LPAREN_e_RPAREN_,0.0,0.0
EX_acgal1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acmana_LPAREN_e_RPAREN_,0.0,0.0
EX_acmum_LPAREN_e_RPAREN_,0.0,0.0
EX_acnam_LPAREN_e_RPAREN_,0.0,0.0
EX_acolipa_LPAREN_e_RPAREN_,0.0,0.0006409617891636433
EX_acser_LPAREN_e_RPAREN_,0.0,0.02921942289380303
EX_ade_LPAREN_e_RPAREN_,0.0,0.03233404285555152
EX_adn_LPAREN_e_RPAREN_,0.0,0.01469426989272343
EX_adocbl_LPAREN_e_RPAREN_,0.0,0.0
EX_ag_LPAREN_e_RPAREN_,0.0,0.0
EX_agm_LPAREN_e_RPAREN_,0.0,0.02191456716993185
EX_akg_LPAREN_e_RPAREN_,0.0,0.03151757974980924
EX_ala_DASH_B_LPAREN_e_RPAREN_,0.0,1.5146129380243386e-28
EX_ala_DASH_D_LPAREN_e_RPAREN_,0.0,0.03826954811052502
EX_ala_DASH_L_LPAREN_e_RPAREN_,0.0,0.04661151080711079
EX_alaala_LPAREN_e_RPAREN_,0.0,0.019134774054123463
EX_all_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_alltn_LPAREN_e_RPAREN_,0.0,0.044278377386424726
EX_amp_LPAREN_e_RPAREN_,0.0,0.0
EX_anhgm_LPAREN_e_RPAREN_,0.0,0.006755423164759282
EX_arab_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_arbt_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0.0,0.0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0.0,0.02174468680412551
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_asn_DASH_L_LPAREN_e_RPAREN_,0.0,0.04315483996481362
EX_aso3_LPAREN_e_RPAREN_,0.0,0.0
EX_asp_DASH_L_LPAREN_e_RPAREN_,0.0,0.044337778571502895
EX_btn_LPAREN_e_RPAREN_,-7.338064492736727e-08,0.0
EX_but_LPAREN_e_RPAREN_,0.0,0.0
EX_butso3_LPAREN_e_RPAREN_,0.0,0.0
EX_ca2_LPAREN_e_RPAREN_,-1.3686574896942139e-05,-5.115646427720475e-14
EX_cbi_LPAREN_e_RPAREN_,0.0,0.0
EX_cbl1_LPAREN_e_RPAREN_,-5.89302953384098e-07,0.0
EX_cd2_LPAREN_e_RPAREN_,0.0,0.0
EX_cgly_LPAREN_e_RPAREN_,0.0,0.020625475291349688
EX_chol_LPAREN_e_RPAREN_,0.0,0.0
EX_chtbs_LPAREN_e_RPAREN_,0.0,0.0
EX_cit_LPAREN_e_RPAREN_,0.0,0.027772917223850613
EX_cl_LPAREN_e_RPAREN_,-1.3686574896942103e-05,0.0
EX_cm_LPAREN_e_RPAREN_,0.0,0.0
EX_cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_co2_LPAREN_e_RPAREN_,-0.2254181451058722,0.06512595017430925
EX_cobalt2_LPAREN_e_RPAREN_,-6.215358074548777e-08,0.0
EX_colipa_LPAREN_e_RPAREN_,0.0,0.0006579002087895625
EX_colipap_LPAREN_e_RPAREN_,0.0,0.000480639209428354
EX_cpgn_LPAREN_e_RPAREN_,0.0,0.0
EX_cpgn_DASH_un_LPAREN_e_RPAREN_,0.0,8.055957786830044e-15
EX_crn_LPAREN_e_RPAREN_,0.0,0.0
EX_crn_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_csn_LPAREN_e_RPAREN_,0.0,0.0
EX_cu_LPAREN_e_RPAREN_,0.0,0.0
EX_cu2_LPAREN_e_RPAREN_,-1.8643192318793755e-06,0.0
EX_cyan_LPAREN_e_RPAREN_,0.0,0.0
EX_cynt_LPAREN_e_RPAREN_,0.0,0.0
EX_cys_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_cys_DASH_L_LPAREN_e_RPAREN_,0.0,0.02952699576542275
EX_cytd_LPAREN_e_RPAREN_,0.0,0.0161509048799644
EX_dad_DASH_2_LPAREN_e_RPAREN_,0.0,7.892053986914159e-14
EX_damp_LPAREN_e_RPAREN_,0.0,7.105427357601008e-15
EX_dca_LPAREN_e_RPAREN_,0.0,3.1554436208840455e-29
EX_dcmp_LPAREN_e_RPAREN_,0.0,0.0
EX_dcyt_LPAREN_e_RPAREN_,0.0,0.0
EX_ddca_LPAREN_e_RPAREN_,0.0,0.0
EX_dgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_dgsn_LPAREN_e_RPAREN_,0.0,0.0
EX_dha_LPAREN_e_RPAREN_,0.0,0.0460697710868167
EX_dimp_LPAREN_e_RPAREN_,0.0,0.0
EX_din_LPAREN_e_RPAREN_,0.0,-2.0194839173657907e-28
EX_dms_LPAREN_e_RPAREN_,0.0,0.0
EX_dmso_LPAREN_e_RPAREN_,0.0,0.0
EX_dopa_LPAREN_e_RPAREN_,0.0,0.0
EX_doxrbcn_LPAREN_e_RPAREN_,0.0,0.0
EX_dtmp_LPAREN_e_RPAREN_,0.0,0.0
EX_dump_LPAREN_e_RPAREN_,0.0,0.0
EX_duri_LPAREN_e_RPAREN_,0.0,0.0
EX_eca4colipa_LPAREN_e_RPAREN_,0.0,0.0004459704015657563
